year,date,survey,wetland_code,area_code,module_code,tc_mc_code,habitat_code,enclosure_number,sampling_station_label,depth,haul_no,species_id,species_code,genus_name,species_name,count,enclosure_area
2011,2011-02-10,12,SDW,2A,W2,"SDL W2 TC1",TC,1,"SDL W2 TC1 MAIN 1",4,1,2709,CLIO,Clevelandia,ios,0,0.43
2011,2011-02-10,12,SDW,2A,W2,"SDL W2 TC1",TC,1,"SDL W2 TC1 MAIN 1",4,1,2751,ILGI,Ilypnus,gilberti,0,0.43
2011,2011-02-10,12,SDW,2A,W2,"SDL W2 TC1",TC,1,"SDL W2 TC1 MAIN 1",4,1,2839,QUYC,Quietula,y_cauda,0,0.43
2011,2011-02-10,12,SDW,2A,W2,"SDL W2 TC1",TC,1,"SDL W2 TC1 MAIN 1",4,1,2964,GOFA,"Unknown Species of Gobiidae",Gobiidae,0,0.43
2011,2011-02-10,12,SDW,2A,W2,"SDL W2 TC1",TC,1,"SDL W2 TC1 MAIN 1",4,1,2991,OSCR,"Unknown Species of Osteichthyes",Osteichthyes,0,0.43
2011,2011-02-10,12,SDW,2A,W2,"SDL W2 TC1",TC,1,"SDL W2 TC1 MAIN 1",4,2,2709,CLIO,Clevelandia,ios,0,0.43
2011,2011-02-10,12,SDW,2A,W2,"SDL W2 TC1",TC,1,"SDL W2 TC1 MAIN 1",4,2,2751,ILGI,Ilypnus,gilberti,0,0.43
2011,2011-02-10,12,SDW,2A,W2,"SDL W2 TC1",TC,1,"SDL W2 TC1 MAIN 1",4,2,2839,QUYC,Quietula,y_cauda,0,0.43
2011,2011-02-10,12,SDW,2A,W2,"SDL W2 TC1",TC,1,"SDL W2 TC1 MAIN 1",4,2,2964,GOFA,"Unknown Species of Gobiidae",Gobiidae,0,0.43
2011,2011-02-10,12,SDW,2A,W2,"SDL W2 TC1",TC,1,"SDL W2 TC1 MAIN 1",4,2,2991,OSCR,"Unknown Species of Osteichthyes",Osteichthyes,0,0.43
2011,2011-02-10,12,SDW,2A,W2,"SDL W2 TC1",TC,1,"SDL W2 TC1 MAIN 1",4,3,2709,CLIO,Clevelandia,ios,0,0.43
2011,2011-02-10,12,SDW,2A,W2,"SDL W2 TC1",TC,1,"SDL W2 TC1 MAIN 1",4,3,2751,ILGI,Ilypnus,gilberti,0,0.43
2011,2011-02-10,12,SDW,2A,W2,"SDL W2 TC1",TC,1,"SDL W2 TC1 MAIN 1",4,3,2839,QUYC,Quietula,y_cauda,0,0.43
2011,2011-02-10,12,SDW,2A,W2,"SDL W2 TC1",TC,1,"SDL W2 TC1 MAIN 1",4,3,2964,GOFA,"Unknown Species of Gobiidae",Gobiidae,0,0.43
2011,2011-02-10,12,SDW,2A,W2,"SDL W2 TC1",TC,1,"SDL W2 TC1 MAIN 1",4,3,2991,OSCR,"Unknown Species of Osteichthyes",Osteichthyes,0,0.43
2011,2011-02-10,12,SDW,2A,W2,"SDL W2 TC2",TC,1,"SDL W2 TC2 MAIN 1",29,1,2709,CLIO,Clevelandia,ios,0,0.43
