year,wetland_code,module_code,tc_mc_code,habitat_code,count_per_m2,species_count
2012,SDW,W2,"SDL W2 TC2",TC,3.70092000,10
2012,SDW,W2,"SDL W2 TC4",TC,3.95876666,8
2012,SDW,W2,"SDL W2 TC5",TC,2.02630668,10
2012,SDW,W4,"SDL W4 TC2",TC,0.56248667,5
2012,SDW,W4,"SDL W4 TC5",TC,0.48078666,4
2012,SDW,W4,"SDL W4 TC6",TC,0.03490000,2
2012,SDW,W1,"SDL W1 MC1",BNMC,19.91606666,13
2012,SDW,W1,"SDL W1 MC2",BNMC,5.74706666,10
2012,SDW,W1,"SDL W1 MC3",BNMC,3.96062667,9
2012,SDW,W1,"SDL W1 MC4",BNMC,5.93361334,11
2012,SDW,W1,"SDL W1 MC5",BNMC,24.41828000,12
2012,SDW,W4,"SDL W4 MC1",BNMC,5.84518000,13
2012,CSM,CSM,"CSM TC1",TC,5.02974666,5
2012,CSM,CSM,"CSM TC2",TC,2.40975334,7
2012,CSM,CSM,"CSM TC3",TC,1.97999333,8
2012,CSM,CSM,"CSM TC4",TC,1.45417333,5
2012,CSM,CSM,"CSM TC5",TC,7.62220667,8
2012,CSM,CSM,"CSM TC6",TC,1.09472000,5
2012,CSM,CSM,"CSM MC1",BNMC,0.05676667,3
2012,CSM,CSM,"CSM MC2",BNMC,4.31711333,6
2012,CSM,CSM,"CSM MC3",BNMC,0.98193999,6
2012,CSM,CSM,"CSM MC4",BNMC,5.00222667,7
2012,CSM,CSM,"CSM MC5",BNMC,5.59616000,10
2012,CSM,CSM,"CSM MC6",BNMC,3.09126001,7
2012,MUL,MUL,"MUL TC1",TC,1.51472000,8
2012,MUL,MUL,"MUL TC2",TC,6.95507999,8
2012,MUL,MUL,"MUL TC3",TC,5.25662667,8
2012,MUL,MUL,"MUL TC4",TC,2.42896668,10
2012,MUL,MUL,"MUL TC5",TC,3.90720000,6
2012,MUL,MUL,"MUL TC6",TC,4.09998001,7
2012,MUL,MUL,"MUL MC1",BNMC,1.76563334,6
2012,MUL,MUL,"MUL MC2",BNMC,0.13726666,6
2012,MUL,MUL,"MUL MC3",BNMC,1.17503334,4
2012,MUL,MUL,"MUL MC4",BNMC,0.62825333,6
2012,MUL,MUL,"MUL MC5",BNMC,3.46844000,9
2012,MUL,MUL,"MUL MC6",BNMC,0.60206667,3
2012,TJE,TJE,"TJE TC1",TC,57.67444000,3
2012,TJE,TJE,"TJE TC2",TC,39.06978000,3
2012,TJE,TJE,"TJE TC3",TC,20.46512000,2
2012,TJE,TJE,"TJE TC4",TC,7.90700000,2
2012,TJE,TJE,"TJE TC5",TC,0.93024000,1
2012,TJE,TJE,"TJE TC6",TC,6.97674000,2
2012,TJE,TJE,"TJE MC1",BNMC,67.44186000,3
2012,TJE,TJE,"TJE MC2",BNMC,60.46510000,3
2012,TJE,TJE,"TJE MC3",BNMC,43.72096000,3
2012,TJE,TJE,"TJE MC4",BNMC,83.72094000,3
2012,TJE,TJE,"TJE MC5",BNMC,271.62788000,3
2012,TJE,TJE,"TJE MC6",BNMC,58.60466000,2
2013,SDW,W2,"SDL W2 TC2",TC,6.22232002,12
2013,SDW,W2,"SDL W2 TC4",TC,10.65601999,9
2013,SDW,W2,"SDL W2 TC5",TC,5.01227333,6
2013,SDW,W4,"SDL W4 TC2",TC,4.76349334,6
2013,SDW,W4,"SDL W4 TC5",TC,5.38653334,7
2013,SDW,W4,"SDL W4 TC6",TC,2.14111334,5
2013,SDW,W1,"SDL W1 MC1",BNMC,9.33398666,11
2013,SDW,W1,"SDL W1 MC2",BNMC,6.59263999,8
2013,SDW,W1,"SDL W1 MC3",BNMC,3.45695332,7
2013,SDW,W1,"SDL W1 MC4",BNMC,5.32734667,7
2013,SDW,W1,"SDL W1 MC5",BNMC,3.02979334,10
2013,SDW,W4,"SDL W4 MC1",BNMC,0.35183333,11
2013,CSM,CSM,"CSM TC1",TC,12.62772667,6
2013,CSM,CSM,"CSM TC2",TC,1.52449333,7
2013,CSM,CSM,"CSM TC3",TC,21.28541334,8
2013,CSM,CSM,"CSM TC4",TC,7.46989333,4
2013,CSM,CSM,"CSM TC5",TC,11.76665333,7
2013,CSM,CSM,"CSM TC6",TC,5.26443334,5
2013,CSM,CSM,"CSM MC1",BNMC,10.98761999,10
2013,CSM,CSM,"CSM MC2",BNMC,2.91965999,9
2013,CSM,CSM,"CSM MC3",BNMC,2.17701333,4
2013,CSM,CSM,"CSM MC4",BNMC,2.34871333,11
2013,CSM,CSM,"CSM MC5",BNMC,10.59514001,13
2013,CSM,CSM,"CSM MC6",BNMC,3.61176002,12
2013,MUL,MUL,"MUL TC1",TC,1.01346666,7
2013,MUL,MUL,"MUL TC2",TC,1.63155333,5
2013,MUL,MUL,"MUL TC3",TC,3.55093999,9
2013,MUL,MUL,"MUL TC4",TC,18.08029999,13
2013,MUL,MUL,"MUL TC5",TC,4.80478666,7
2013,MUL,MUL,"MUL TC6",TC,14.92317334,9
2013,MUL,MUL,"MUL MC1",BNMC,0.43573333,5
2013,MUL,MUL,"MUL MC2",BNMC,1.12819999,6
2013,MUL,MUL,"MUL MC3",BNMC,0.77550001,8
2013,MUL,MUL,"MUL MC4",BNMC,2.51621334,10
2013,MUL,MUL,"MUL MC5",BNMC,1.13200667,8
2013,MUL,MUL,"MUL MC6",BNMC,1.49057333,8
2013,TJE,TJE,"TJE TC1",TC,18.50677333,7
2013,TJE,TJE,"TJE TC2",TC,28.33956000,5
2013,TJE,TJE,"TJE TC3",TC,23.25480666,7
2013,TJE,TJE,"TJE TC4",TC,20.75138667,4
2013,TJE,TJE,"TJE TC5",TC,10.94104000,5
2013,TJE,TJE,"TJE TC6",TC,10.73371333,6
2013,TJE,TJE,"TJE MC1",BNMC,7.51034001,6
2013,TJE,TJE,"TJE MC2",BNMC,33.48341334,7
2013,TJE,TJE,"TJE MC3",BNMC,17.24343334,8
2013,TJE,TJE,"TJE MC4",BNMC,3.77674000,4
2013,TJE,TJE,"TJE MC5",BNMC,29.11063334,6
2013,TJE,TJE,"TJE MC6",BNMC,19.71759999,7
2014,SDW,W2,"SDL W2 TC2",TC,17.03764666,9
2014,SDW,W2,"SDL W2 TC4",TC,3.09856666,9
2014,SDW,W2,"SDL W2 TC5",TC,10.64597334,12
2014,SDW,W4,"SDL W4 TC2",TC,5.77089333,6
2014,SDW,W4,"SDL W4 TC5",TC,1.86580666,4
2014,SDW,W4,"SDL W4 TC6",TC,2.25742666,6
2014,SDW,W1,"SDL W1 MC1",BNMC,4.19887333,4
2014,SDW,W1,"SDL W1 MC2",BNMC,5.14681333,5
2014,SDW,W1,"SDL W1 MC3",BNMC,2.32662000,5
2014,SDW,W1,"SDL W1 MC4",BNMC,3.29112000,3
2014,SDW,W1,"SDL W1 MC5",BNMC,5.65436666,6
2014,SDW,W4,"SDL W4 MC1",BNMC,0.65918666,9
2014,CSM,CSM,"CSM TC1",TC,48.02070666,4
2014,CSM,CSM,"CSM TC2",TC,16.03698000,11
2014,CSM,CSM,"CSM TC3",TC,49.19578667,10
2014,CSM,CSM,"CSM TC4",TC,15.95734002,8
2014,CSM,CSM,"CSM TC5",TC,3.84862666,12
2014,CSM,CSM,"CSM TC6",TC,89.53286667,7
2014,CSM,CSM,"CSM MC1",BNMC,50.48412666,13
2014,CSM,CSM,"CSM MC2",BNMC,21.06290666,11
2014,CSM,CSM,"CSM MC3",BNMC,7.48580666,9
2014,CSM,CSM,"CSM MC4",BNMC,27.22808000,11
2014,CSM,CSM,"CSM MC5",BNMC,38.84105333,9
2014,CSM,CSM,"CSM MC6",BNMC,63.87001334,12
2014,MUL,MUL,"MUL TC1",TC,2.25472665,13
2014,MUL,MUL,"MUL TC2",TC,1.56100667,11
2014,MUL,MUL,"MUL TC3",TC,4.17118667,9
2014,MUL,MUL,"MUL TC4",TC,6.42989336,18
2014,MUL,MUL,"MUL TC5",TC,4.74582001,8
2014,MUL,MUL,"MUL TC6",TC,6.98053334,9
2014,MUL,MUL,"MUL MC1",BNMC,10.34194001,9
2014,MUL,MUL,"MUL MC2",BNMC,0.26643333,4
2014,MUL,MUL,"MUL MC3",BNMC,13.15922001,11
2014,MUL,MUL,"MUL MC4",BNMC,2.53872666,8
2014,MUL,MUL,"MUL MC5",BNMC,0.78353334,6
2014,MUL,MUL,"MUL MC6",BNMC,1.36080000,7
2014,TJE,TJE,"TJE TC1",TC,3.58026665,9
2014,TJE,TJE,"TJE TC2",TC,51.25063333,6
2014,TJE,TJE,"TJE TC3",TC,2.47088000,3
2014,TJE,TJE,"TJE TC4",TC,11.70815333,5
2014,TJE,TJE,"TJE TC5",TC,4.23310667,3
2014,TJE,TJE,"TJE TC6",TC,5.20438000,7
2014,TJE,TJE,"TJE MC1",BNMC,0.94390667,2
2014,TJE,TJE,"TJE MC2",BNMC,0.30573334,2
2014,TJE,TJE,"TJE MC3",BNMC,0.41999999,3
2014,TJE,TJE,"TJE MC4",BNMC,0.35243334,2
2014,TJE,TJE,"TJE MC5",BNMC,0.53968666,3
2014,TJE,TJE,"TJE MC6",BNMC,1.67750667,4
2015,SDW,W2,"SDL W2 TC2",TC,6.66487334,10
2015,SDW,W2,"SDL W2 TC4",TC,14.69505334,7
2015,SDW,W2,"SDL W2 TC5",TC,26.20365332,8
2015,SDW,W4,"SDL W4 TC2",TC,0.17030000,5
2015,SDW,W4,"SDL W4 TC5",TC,1.03747333,4
2015,SDW,W4,"SDL W4 TC6",TC,0.53243333,6
2015,SDW,W1,"SDL W1 MC1",BNMC,15.84316000,5
2015,SDW,W1,"SDL W1 MC2",BNMC,11.29551333,11
2015,SDW,W1,"SDL W1 MC3",BNMC,31.23133333,5
2015,SDW,W1,"SDL W1 MC4",BNMC,12.20015333,10
2015,SDW,W1,"SDL W1 MC5",BNMC,44.67629334,7
